1, '2014-1', 120, 70
2, '2014-1', 66, 116
3, '2014-1', 11, 61
4, '2014-1', 46, 96
5, '2014-1', 117, 67
6, '2014-1', 24, 74
7, '2014-1', 31, 81
8, '2014-1', 119, 69
9, '2014-1', 99, 49
10, '2014-1', 9, 59
11, '2014-1', 52, 102
12, '2014-1', 105, 55
13, '2014-1', 65, 115
14, '2014-1', 100, 50
15, '2014-1', 92, 42
17, '2014-1', 2, 52
16, '2014-1', 31, 81
19, '2014-1', 93, 43
18, '2014-1', 56, 106
21, '2014-1', 143, 93
20, '2014-1', 93, 43
23, '2014-1', 148, 98
22, '2014-1', 123, 73
25, '2014-1', 51, 101
24, '2014-1', 96, 46
27, '2014-1', 21, 71
26, '2014-1', 17, 67
29, '2014-1', 168, 118
28, '2014-1', 97, 47
31, '2014-1', 62, 112
30, '2014-1', 141, 91
34, '2014-1', 40, 90
35, '2014-1', 3, 53
32, '2014-1', 140, 90
33, '2014-1', 131, 81
38, '2014-1', 94, 44
39, '2014-1', 1, 51
36, '2014-1', 28, 78
37, '2014-1', 13, 63
42, '2014-1', 9, 59
43, '2014-1', 117, 67
40, '2014-1', 42, 92
41, '2014-1', 164, 114
46, '2014-1', 154, 104
47, '2014-1', 44, 94
44, '2014-1', 53, 103
45, '2014-1', 120, 70
51, '2014-1', 127, 77
50, '2014-1', 53, 103
49, '2014-1', 59, 109
48, '2014-1', 124, 74
55, '2014-1', 92, 42
54, '2014-1', 53, 103
53, '2014-1', 30, 80
52, '2014-1', 101, 51
59, '2014-1', 43, 93
58, '2014-1', 149, 99
57, '2014-1', 136, 86
56, '2014-1', 111, 61
63, '2014-1', 159, 109
62, '2014-1', 57, 107
61, '2014-1', 92, 42
60, '2014-1', 94, 44
68, '2014-1', 66, 116
69, '2014-1', 94, 44
70, '2014-1', 142, 92
71, '2014-1', 146, 96
64, '2014-1', 136, 86
65, '2014-1', 134, 84
66, '2014-1', 26, 76
67, '2014-1', 120, 70
76, '2014-1', 16, 66
77, '2014-1', 135, 85
78, '2014-1', 28, 78
79, '2014-1', 9, 59
72, '2014-1', 150, 100
73, '2014-1', 48, 98
74, '2014-1', 156, 106
75, '2014-1', 25, 75
85, '2014-1', 150, 100
84, '2014-1', 69, 119
87, '2014-1', 2, 52
86, '2014-1', 106, 56
81, '2014-1', 161, 111
80, '2014-1', 52, 102
83, '2014-1', 1, 51
82, '2014-1', 105, 55
93, '2014-1', 45, 95
92, '2014-1', 26, 76
95, '2014-1', 113, 63
94, '2014-1', 19, 69
89, '2014-1', 156, 106
88, '2014-1', 64, 114
91, '2014-1', 94, 44
90, '2014-1', 121, 71
102, '2014-1', 102, 52
103, '2014-1', 128, 78
100, '2014-1', 28, 78
101, '2014-1', 144, 94
98, '2014-1', 148, 98
99, '2014-1', 92, 42
96, '2014-1', 90, 40
97, '2014-1', 54, 104
110, '2014-1', 10, 60
111, '2014-1', 26, 76
108, '2014-1', 66, 116
109, '2014-1', 17, 67
106, '2014-1', 144, 94
107, '2014-1', 135, 85
104, '2014-1', 47, 97
105, '2014-1', 11, 61
119, '2014-1', 94, 44
118, '2014-1', 20, 70
117, '2014-1', 50, 100
116, '2014-1', 90, 40
115, '2014-1', 13, 63
114, '2014-1', 109, 59
113, '2014-1', 11, 61
112, '2014-1', 23, 73
127, '2014-1', 98, 48
126, '2014-1', 141, 91
125, '2014-1', 38, 88
124, '2014-1', 161, 111
123, '2014-1', 97, 47
122, '2014-1', 54, 104
121, '2014-1', 93, 43
120, '2014-1', 130, 80
137, '2014-1', 98, 48
136, '2014-1', 99, 49
139, '2014-1', 16, 66
138, '2014-1', 129, 79
141, '2014-1', 1, 51
140, '2014-1', 90, 40
143, '2014-1', 51, 101
142, '2014-1', 124, 74
129, '2014-1', 13, 63
128, '2014-1', 95, 45
131, '2014-1', 49, 99
130, '2014-1', 30, 80
133, '2014-1', 157, 107
132, '2014-1', 154, 104
135, '2014-1', 60, 110
134, '2014-1', 98, 48
152, '2014-1', 106, 56
153, '2014-1', 52, 102
154, '2014-1', 116, 66
155, '2014-1', 94, 44
156, '2014-1', 96, 46
157, '2014-1', 41, 91
158, '2014-1', 1, 51
159, '2014-1', 111, 61
144, '2014-1', 64, 114
145, '2014-1', 36, 86
146, '2014-1', 64, 114
147, '2014-1', 97, 47
148, '2014-1', 131, 81
149, '2014-1', 132, 82
150, '2014-1', 25, 75
151, '2014-1', 11, 61
171, '2014-1', 93, 43
170, '2014-1', 22, 72
169, '2014-1', 145, 95
168, '2014-1', 122, 72
175, '2014-1', 112, 62
174, '2014-1', 16, 66
173, '2014-1', 7, 57
172, '2014-1', 98, 48
163, '2014-1', 144, 94
162, '2014-1', 25, 75
161, '2014-1', 12, 62
160, '2014-1', 135, 85
167, '2014-1', 97, 47
166, '2014-1', 132, 82
165, '2014-1', 52, 102
164, '2014-1', 69, 119
186, '2014-1', 129, 79
187, '2014-1', 143, 93
184, '2014-1', 100, 50
185, '2014-1', 156, 106
190, '2014-1', 16, 66
191, '2014-1', 55, 105
188, '2014-1', 39, 89
189, '2014-1', 20, 70
178, '2014-1', 124, 74
179, '2014-1', 130, 80
176, '2014-1', 133, 83
177, '2014-1', 24, 74
182, '2014-1', 65, 115
183, '2014-1', 118, 68
180, '2014-1', 147, 97
181, '2014-1', 14, 64
205, '2014-1', 55, 105
204, '2014-1', 37, 87
207, '2014-1', 4, 54
206, '2014-1', 94, 44
201, '2014-1', 121, 71
200, '2014-1', 159, 109
203, '2014-1', 36, 86
202, '2014-1', 128, 78
197, '2014-1', 59, 109
196, '2014-1', 7, 57
199, '2014-1', 56, 106
198, '2014-1', 169, 119
193, '2014-1', 11, 61
192, '2014-1', 118, 68
195, '2014-1', 43, 93
194, '2014-1', 90, 40
220, '2014-1', 32, 82
221, '2014-1', 43, 93
222, '2014-1', 169, 119
223, '2014-1', 135, 85
216, '2014-1', 43, 93
217, '2014-1', 40, 90
218, '2014-1', 65, 115
219, '2014-1', 55, 105
212, '2014-1', 95, 45
213, '2014-1', 26, 76
214, '2014-1', 60, 110
215, '2014-1', 165, 115
208, '2014-1', 156, 106
209, '2014-1', 115, 65
210, '2014-1', 61, 111
211, '2014-1', 28, 78
239, '2014-1', 161, 111
238, '2014-1', 48, 98
237, '2014-1', 127, 77
236, '2014-1', 97, 47
235, '2014-1', 99, 49
234, '2014-1', 111, 61
233, '2014-1', 132, 82
232, '2014-1', 21, 71
231, '2014-1', 14, 64
230, '2014-1', 143, 93
229, '2014-1', 40, 90
228, '2014-1', 90, 40
227, '2014-1', 24, 74
226, '2014-1', 67, 117
225, '2014-1', 69, 119
224, '2014-1', 19, 69
254, '2014-1', 4, 54
255, '2014-1', 110, 60
252, '2014-1', 119, 69
253, '2014-1', 48, 98
250, '2014-1', 17, 67
251, '2014-1', 131, 81
248, '2014-1', 3, 53
249, '2014-1', 8, 58
246, '2014-1', 28, 78
247, '2014-1', 62, 112
244, '2014-1', 138, 88
245, '2014-1', 45, 95
242, '2014-1', 124, 74
243, '2014-1', 11, 61
240, '2014-1', 156, 106
241, '2014-1', 157, 107
275, '2014-1', 161, 111
274, '2014-1', 143, 93
273, '2014-1', 90, 40
272, '2014-1', 4, 54
279, '2014-1', 115, 65
278, '2014-1', 119, 69
277, '2014-1', 29, 79
276, '2014-1', 131, 81
283, '2014-1', 142, 92
282, '2014-1', 8, 58
281, '2014-1', 117, 67
280, '2014-1', 96, 46
287, '2014-1', 139, 89
286, '2014-1', 104, 54
285, '2014-1', 154, 104
284, '2014-1', 65, 115
258, '2014-1', 146, 96
259, '2014-1', 26, 76
256, '2014-1', 131, 81
257, '2014-1', 65, 115
262, '2014-1', 108, 58
263, '2014-1', 101, 51
260, '2014-1', 48, 98
261, '2014-1', 94, 44
266, '2014-1', 147, 97
267, '2014-1', 13, 63
264, '2014-1', 34, 84
265, '2014-1', 114, 64
270, '2014-1', 4, 54
271, '2014-1', 43, 93
268, '2014-1', 167, 117
269, '2014-1', 25, 75
305, '2014-1', 45, 95
304, '2014-1', 126, 76
307, '2014-1', 108, 58
306, '2014-1', 149, 99
309, '2014-1', 157, 107
308, '2014-1', 39, 89
311, '2014-1', 0, 50
310, '2014-1', 160, 110
313, '2014-1', 165, 115
312, '2014-1', 101, 51
315, '2014-1', 137, 87
314, '2014-1', 95, 45
317, '2014-1', 113, 63
316, '2014-1', 96, 46
319, '2014-1', 66, 116
318, '2014-1', 119, 69
288, '2014-1', 100, 50
289, '2014-1', 65, 115
290, '2014-1', 112, 62
291, '2014-1', 128, 78
292, '2014-1', 50, 100
293, '2014-1', 118, 68
294, '2014-1', 30, 80
295, '2014-1', 19, 69
296, '2014-1', 140, 90
297, '2014-1', 10, 60
298, '2014-1', 69, 119
299, '2014-1', 42, 92
300, '2014-1', 33, 83
301, '2014-1', 3, 53
302, '2014-1', 4, 54
303, '2014-1', 116, 66
343, '2014-1', 47, 97
342, '2014-1', 165, 115
341, '2014-1', 121, 71
340, '2014-1', 43, 93
339, '2014-1', 164, 114
338, '2014-1', 96, 46
337, '2014-1', 45, 95
336, '2014-1', 16, 66
351, '2014-1', 125, 75
350, '2014-1', 160, 110
349, '2014-1', 27, 77
348, '2014-1', 21, 71
347, '2014-1', 62, 112
346, '2014-1', 97, 47
345, '2014-1', 45, 95
344, '2014-1', 163, 113
326, '2014-1', 48, 98
327, '2014-1', 33, 83
324, '2014-1', 98, 48
325, '2014-1', 153, 103
322, '2014-1', 151, 101
323, '2014-1', 104, 54
320, '2014-1', 100, 50
321, '2014-1', 21, 71
334, '2014-1', 111, 61
335, '2014-1', 127, 77
332, '2014-1', 166, 116
333, '2014-1', 104, 54
330, '2014-1', 67, 117
331, '2014-1', 54, 104
328, '2014-1', 130, 80
329, '2014-1', 65, 115
373, '2014-1', 141, 91
372, '2014-1', 69, 119
375, '2014-1', 150, 100
374, '2014-1', 167, 117
369, '2014-1', 9, 59
368, '2014-1', 38, 88
371, '2014-1', 92, 42
370, '2014-1', 149, 99
381, '2014-1', 121, 71
380, '2014-1', 12, 62
383, '2014-1', 152, 102
382, '2014-1', 116, 66
377, '2014-1', 130, 80
376, '2014-1', 43, 93
379, '2014-1', 126, 76
378, '2014-1', 7, 57
356, '2014-1', 101, 51
357, '2014-1', 16, 66
358, '2014-1', 58, 108
359, '2014-1', 46, 96
352, '2014-1', 117, 67
353, '2014-1', 162, 112
354, '2014-1', 93, 43
355, '2014-1', 53, 103
364, '2014-1', 161, 111
365, '2014-1', 19, 69
366, '2014-1', 61, 111
367, '2014-1', 149, 99
360, '2014-1', 45, 95
361, '2014-1', 93, 43
362, '2014-1', 168, 118
363, '2014-1', 17, 67
410, '2014-1', 162, 112
411, '2014-1', 108, 58
408, '2014-1', 118, 68
409, '2014-1', 131, 81
414, '2014-1', 24, 74
415, '2014-1', 108, 58
412, '2014-1', 169, 119
413, '2014-1', 133, 83
402, '2014-1', 25, 75
403, '2014-1', 105, 55
400, '2014-1', 22, 72
401, '2014-1', 163, 113
406, '2014-1', 132, 82
407, '2014-1', 127, 77
404, '2014-1', 99, 49
405, '2014-1', 32, 82
395, '2014-1', 155, 105
394, '2014-1', 117, 67
393, '2014-1', 135, 85
392, '2014-1', 61, 111
399, '2014-1', 98, 48
398, '2014-1', 50, 100
397, '2014-1', 30, 80
396, '2014-1', 7, 57
387, '2014-1', 164, 114
386, '2014-1', 54, 104
385, '2014-1', 43, 93
384, '2014-1', 136, 86
391, '2014-1', 20, 70
390, '2014-1', 131, 81
389, '2014-1', 144, 94
388, '2014-1', 104, 54
440, '2014-1', 103, 53
441, '2014-1', 115, 65
442, '2014-1', 109, 59
443, '2014-1', 34, 84
444, '2014-1', 116, 66
445, '2014-1', 91, 41
446, '2014-1', 56, 106
447, '2014-1', 169, 119
432, '2014-1', 9, 59
433, '2014-1', 142, 92
434, '2014-1', 37, 87
435, '2014-1', 55, 105
436, '2014-1', 157, 107
437, '2014-1', 101, 51
438, '2014-1', 146, 96
439, '2014-1', 113, 63
425, '2014-1', 139, 89
424, '2014-1', 39, 89
427, '2014-1', 114, 64
426, '2014-1', 37, 87
429, '2014-1', 62, 112
428, '2014-1', 120, 70
431, '2014-1', 52, 102
430, '2014-1', 62, 112
417, '2014-1', 58, 108
416, '2014-1', 91, 41
419, '2014-1', 115, 65
418, '2014-1', 1, 51
421, '2014-1', 28, 78
420, '2014-1', 45, 95
423, '2014-1', 92, 42
422, '2014-1', 97, 47
