99274, 'Kibamba', 33665, "[[-22920,  28771,  -22918,  28772,  -22916,  28773,  -22914,  13844,  13845,  28774,  13847,  28775,  13849,  28776,  13851,  13852,  28777,  28778,  28779,  13856,  13857,  28780]]"
99275, 'Kigogo', 33665, "[[-22937,  -22936,  -22935,  -22934,  28781,  28782,  28783]]"
99276, 'Kijitonyama', 33665, "[[28784,  28785,  28786,  28787,  28788,  28789]]"
99277, 'Kimara', 33665, "[[28790,  28791,  -22926,  28792,  -22924,  -22923,  -22922,  28793,  28794,  28795]]"
99278, 'Kinondoni', 33665, "[[28796,  28797,  28798]]"
99279, 'Kunduchi', 33665, "[[[11696,  28799,  11698,  13609]],  [[13610,  28800,  11682,  11683,  28801,  11685,  28802,  11687,  28803,  11689,  13612,  11691,  11692,  11693,  11694,  11695]],  [[4243,  28804,  4245,  13624,  4247,  13625,  28805,  4250,  13627,  4252,  13628,  4254,  13629,  4256,  28806,  4258,  13630,  4260,  13631,  4262,  4263,  4264,  13633,  4266,  13634,  4268,  4269,  4270,  13636,  4272,  13637,  4274,  28807,  4276,  13638,  4278,  28808,  4280,  4281,  28809,  4283,  13640,  4285,  13641,  4287,  28810,  28811,  28812,  28813,  28814]]]"
99280, 'Mabibo', 33665, "[[-22933,  28815,  28816,  28817,  28818,  28819,  -28782]]"
99281, 'Magomeni', 33665, "[[-22939,  28820,  28821,  28822,  28823,  28824]]"
99282, 'Makuburi', 33665, "[[-28816,  28825,  -22931,  28826,  -22929,  28827,  -22927,  -28792,  28828]]"
99283, 'Makumbusho', 33665, "[[-28823,  28829,  28830,  -28790,  28831,  28832]]"
99284, 'Makurumla', 33665, "[[28833,  -28819,  28834,  28835,  28836]]"
99285, 'Manzese', 33665, "[[-28818,  28837,  28838,  -28786,  28839,  28840,  -28835]]"
99286, 'Mbezi', 33665, "[[-28813,  28841,  -28794,  -22921,  -28781,  13858,  28842,  13860,  28843,  13862,  28844]]"
99287, 'Mburahati', 33665, "[[-28820,  -28834,  -28783]]"
99288, 'Mbweni', 33665, "[[13615,  13616,  4218,  4219,  4220,  28845,  4222,  28846,  4224,  28847,  4226,  4227,  4228,  28848,  4230,  13619,  4232,  13620,  4234,  28849,  13622,  4237,  13623,  28850,  4240,  28851,  4242,  -28815,  28852,  13872,  4215]]"
99289, 'Mikocheni', 33665, "[[-28832,  -28789,  28853,  28854,  28855]]"
99290, 'Msasani', 33665, "[[13649,  4307,  28856,  13651,  4310,  13652,  4312,  28857,  4314,  13653,  4316,  13654,  4318,  13655,  4320,  13656,  4322,  13657,  4324,  4325,  4326,  13659,  4328,  13660,  4330,  13661,  4332,  13662,  4334,  28858,  -28799,  -28855,  28859,  4301,  13647,  4303,  13648,  4305]]"
99666, 'Ruzinga', 33680, "[[28860,  28861,  28862,  28863]]"
99667, 'Bakoba', 33681, "[[23795,  -23671,  28864,  28865,  28866,  28867,  28868]]"
99668, 'Bilele', 33681, "[[-28868,  28869,  28870,  28871]]"
99669, 'Buhembe', 33681, "[[28872,  -23652,  28873,  28874,  28875,  28876,  28877,  -23654]]"
99670, 'Hamugernbe', 33681, "[[28878,  28879,  28880,  -28870,  -28867]]"
99671, 'Ijuganyondo', 33681, "[[-23667,  28881,  28882,  -23665,  28883,  28884]]"
99672, 'Kagondo', 33681, "[[28885,  28886,  28887,  -23661,  28888]]"
99673, 'Kahororo', 33681, "[[-23648,  23789,  28889,  23791,  28890,  23793,  28891,  28892,  28893,  -28875,  -23650,  28894]]"
99674, 'Kashai', 33681, "[[28895,  -28871,  -28881,  28896,  -28893]]"
99675, 'Kibeta', 33681, "[[-28879,  -28866,  28897,  -28884,  -23664,  28898,  -23662,  -28888,  28899]]"
99676, 'Kitendaguro', 33681, "[[-23670,  28900,  -23668,  -28885,  -28898,  -28865]]"
99677, 'Miembeni', 33681, "[[-28892,  23794,  -28869,  -28872,  -28896]]"
99678, 'Nshambya', 33681, "[[-28894,  -28897,  28901,  -28886,  28902,  -28876]]"
99679, 'Nyanga', 33681, "[[-28889,  -23660,  28903,  -23658,  28904,  -23656,  28905,  -28877,  -28903]]"
99680, 'Rwamishenye', 33681, "[[-28900,  -28887,  -28902,  -28880]]"
99681, 'Bugene', 33682, "[[28906,  28907,  28908,  28909]]"
99682, 'Bugomora', 33682, "[[28910,  2351,  14820,  2353,  28911,  2355,  -23789,  28912,  -23787,  28913,  -23785,  28914,  28915,  28916,  28917,  2346,  28918,  15124,  2349]]"
99683, 'Bweranyange', 33682, "[[28919,  28920,  28921,  2192,  2193,  2194,  15067,  2196,  15068,  2198,  15069,  2200,  2201,  15071,  28922,  28923,  2206,  28924,  2208,  28925,  2210,  28926,  2212,  15075,  2214,  15076,  2216,  28927,  2218,  28928,  2220,  15078,  28929,  2223,  15080,  28930,  2226,  15082,  2228,  2229,  2230,  28931]]"
