1, 'Facility1', 11951, 101301, 'coor'
2, 'Facility2', 8150, 101301, 'coor'
3, 'Facility3', 11896, 101300, 'coor'
4, 'Facility4', 9503, 101300, 'coor'
5, 'Facility5', 10206, 101303, 'coor'
6, 'Facility6', 11718, 101303, 'coor'
7, 'Facility7', 8207, 101302, 'coor'
8, 'Facility8', 10890, 101302, 'coor'
9, 'Facility9', 11152, 101297, 'coor'
10, 'Facility10', 9973, 101296, 'coor'
11, 'Facility11', 11765, 101296, 'coor'
12, 'Facility12', 9639, 101299, 'coor'
13, 'Facility13', 8122, 101299, 'coor'
14, 'Facility14', 8379, 101298, 'coor'
15, 'Facility15', 8742, 101309, 'coor'
16, 'Facility16', 10870, 101309, 'coor'
17, 'Facility17', 9671, 101308, 'coor'
18, 'Facility18', 10873, 101311, 'coor'
19, 'Facility19', 11517, 101311, 'coor'
20, 'Facility20', 11017, 101310, 'coor'
21, 'Facility21', 9728, 101305, 'coor'
22, 'Facility22', 11675, 101304, 'coor'
23, 'Facility23', 9576, 101307, 'coor'
24, 'Facility24', 10444, 101306, 'coor'
25, 'Facility25', 10646, 101284, 'coor'
26, 'Facility26', 10576, 101284, 'coor'
27, 'Facility27', 8497, 101285, 'coor'
28, 'Facility28', 8499, 101285, 'coor'
29, 'Facility29', 11776, 101286, 'coor'
30, 'Facility30', 11896, 101286, 'coor'
31, 'Facility31', 11307, 101287, 'coor'
32, 'Facility32', 8736, 101280, 'coor'
33, 'Facility33', 9160, 101280, 'coor'
34, 'Facility34', 8568, 101281, 'coor'
35, 'Facility35', 10636, 101281, 'coor'
36, 'Facility36', 11036, 101282, 'coor'
37, 'Facility37', 8311, 101282, 'coor'
38, 'Facility38', 11440, 101283, 'coor'
39, 'Facility39', 9640, 101283, 'coor'
40, 'Facility40', 11568, 101292, 'coor'
41, 'Facility41', 8770, 101293, 'coor'
42, 'Facility42', 8351, 101294, 'coor'
43, 'Facility43', 11573, 101294, 'coor'
44, 'Facility44', 11755, 101295, 'coor'
45, 'Facility45', 10581, 101295, 'coor'
46, 'Facility46', 10492, 101288, 'coor'
47, 'Facility47', 11328, 101289, 'coor'
48, 'Facility48', 8195, 101290, 'coor'
49, 'Facility49', 10760, 101291, 'coor'
50, 'Facility50', 8918, 101291, 'coor'
51, 'Facility51', 8288, 101271, 'coor'
52, 'Facility52', 10992, 101270, 'coor'
53, 'Facility53', 11455, 101269, 'coor'
54, 'Facility54', 8608, 101269, 'coor'
55, 'Facility55', 8582, 101268, 'coor'
