1, 1, 2014-1, 8, 58
2, 2, 2014-1, 161, 111
3, 3, 2014-1, 14, 64
4, 4, 2014-1, 26, 76
5, 4, 2014-1, 35, 85
6, 5, 2014-1, 60, 110
7, 5, 2014-1, 5, 55
8, 6, 2014-1, 170, 120
9, 6, 2014-1, 92, 42
10, 7, 2014-1, 46, 96
11, 7, 2014-1, 151, 101
12, 8, 2014-1, 61, 111
13, 9, 2014-1, 143, 93
14, 9, 2014-1, 164, 114
15, 10, 2014-1, 91, 41
17, 11, 2014-1, 136, 86
16, 10, 2014-1, 111, 61
19, 13, 2014-1, 15, 65
18, 12, 2014-1, 140, 90
21, 15, 2014-1, 131, 81
20, 14, 2014-1, 144, 94
23, 17, 2014-1, 147, 97
22, 15, 2014-1, 11, 61
25, 16, 2014-1, 95, 45
24, 17, 2014-1, 123, 73
27, 19, 2014-1, 35, 85
26, 16, 2014-1, 170, 120
29, 18, 2014-1, 157, 107
28, 18, 2014-1, 48, 98
31, 20, 2014-1, 99, 49
30, 21, 2014-1, 120, 70
34, 25, 2014-1, 150, 100
35, 25, 2014-1, 166, 116
32, 23, 2014-1, 12, 62
33, 22, 2014-1, 98, 48
38, 27, 2014-1, 26, 76
39, 26, 2014-1, 60, 110
36, 24, 2014-1, 150, 100
37, 24, 2014-1, 168, 118
42, 28, 2014-1, 147, 97
43, 28, 2014-1, 153, 103
40, 29, 2014-1, 137, 87
41, 29, 2014-1, 7, 57
46, 30, 2014-1, 154, 104
47, 30, 2014-1, 141, 91
44, 31, 2014-1, 1, 51
45, 31, 2014-1, 116, 66
51, 32, 2014-1, 48, 98
50, 35, 2014-1, 0, 50
49, 34, 2014-1, 90, 40
48, 34, 2014-1, 129, 79
55, 39, 2014-1, 162, 112
54, 38, 2014-1, 163, 113
53, 33, 2014-1, 70, 120
52, 33, 2014-1, 131, 81
59, 37, 2014-1, 151, 101
58, 36, 2014-1, 18, 68
57, 36, 2014-1, 41, 91
56, 39, 2014-1, 155, 105
63, 43, 2014-1, 32, 82
62, 42, 2014-1, 133, 83
61, 42, 2014-1, 150, 100
60, 37, 2014-1, 126, 76
68, 46, 2014-1, 20, 70
69, 46, 2014-1, 155, 105
70, 47, 2014-1, 117, 67
71, 47, 2014-1, 7, 57
64, 43, 2014-1, 148, 98
65, 40, 2014-1, 169, 119
66, 40, 2014-1, 95, 45
67, 41, 2014-1, 34, 84
76, 51, 2014-1, 139, 89
77, 51, 2014-1, 158, 108
78, 50, 2014-1, 168, 118
79, 50, 2014-1, 43, 93
72, 44, 2014-1, 4, 54
73, 44, 2014-1, 97, 47
74, 45, 2014-1, 54, 104
75, 45, 2014-1, 101, 51
85, 52, 2014-1, 36, 86
84, 53, 2014-1, 143, 93
87, 59, 2014-1, 66, 116
86, 52, 2014-1, 18, 68
81, 48, 2014-1, 64, 114
80, 49, 2014-1, 12, 62
83, 54, 2014-1, 143, 93
82, 55, 2014-1, 40, 90
93, 63, 2014-1, 49, 99
92, 56, 2014-1, 141, 91
95, 62, 2014-1, 147, 97
94, 62, 2014-1, 52, 102
89, 57, 2014-1, 10, 60
88, 58, 2014-1, 113, 63
91, 56, 2014-1, 141, 91
90, 57, 2014-1, 143, 93
102, 70, 2014-1, 67, 117
103, 71, 2014-1, 98, 48
100, 69, 2014-1, 125, 75
101, 69, 2014-1, 93, 43
98, 60, 2014-1, 68, 118
99, 68, 2014-1, 111, 61
96, 61, 2014-1, 59, 109
97, 61, 2014-1, 119, 69
110, 76, 2014-1, 165, 115
111, 76, 2014-1, 51, 101
108, 66, 2014-1, 9, 59
109, 67, 2014-1, 97, 47
106, 65, 2014-1, 48, 98
107, 66, 2014-1, 0, 50
104, 64, 2014-1, 94, 44
105, 65, 2014-1, 144, 94
119, 73, 2014-1, 22, 72
118, 72, 2014-1, 35, 85
117, 72, 2014-1, 125, 75
116, 79, 2014-1, 97, 47
115, 79, 2014-1, 91, 41
114, 78, 2014-1, 140, 90
113, 78, 2014-1, 153, 103
112, 77, 2014-1, 138, 88
127, 84, 2014-1, 153, 103
126, 84, 2014-1, 16, 66
125, 85, 2014-1, 96, 46
124, 85, 2014-1, 28, 78
123, 75, 2014-1, 32, 82
122, 75, 2014-1, 168, 118
121, 74, 2014-1, 92, 42
120, 73, 2014-1, 99, 49
137, 82, 2014-1, 30, 80
136, 83, 2014-1, 39, 89
139, 93, 2014-1, 46, 96
138, 82, 2014-1, 123, 73
141, 92, 2014-1, 145, 95
140, 93, 2014-1, 60, 110
143, 95, 2014-1, 110, 60
142, 92, 2014-1, 27, 77
129, 87, 2014-1, 40, 90
128, 87, 2014-1, 169, 119
131, 86, 2014-1, 91, 41
130, 86, 2014-1, 111, 61
133, 81, 2014-1, 93, 43
132, 81, 2014-1, 31, 81
135, 83, 2014-1, 27, 77
134, 80, 2014-1, 121, 71
152, 100, 2014-1, 138, 88
153, 101, 2014-1, 43, 93
154, 98, 2014-1, 62, 112
155, 99, 2014-1, 14, 64
156, 96, 2014-1, 22, 72
157, 97, 2014-1, 138, 88
158, 97, 2014-1, 112, 62
159, 110, 2014-1, 12, 62
144, 94, 2014-1, 65, 115
145, 89, 2014-1, 11, 61
146, 88, 2014-1, 114, 64
