1, 1, '2014-1', 163, 113
2, 2, '2014-1', 35, 85
3, 3, '2014-1', 103, 53
4, 3, '2014-1', 33, 83
5, 4, '2014-1', 115, 65
6, 4, '2014-1', 52, 102
7, 5, '2014-1', 50, 100
8, 6, '2014-1', 125, 75
9, 6, '2014-1', 9, 59
10, 7, '2014-1', 42, 92
11, 7, '2014-1', 42, 92
12, 8, '2014-1', 119, 69
13, 8, '2014-1', 95, 45
14, 9, '2014-1', 30, 80
15, 9, '2014-1', 23, 73
17, 11, '2014-1', 152, 102
16, 10, '2014-1', 155, 105
19, 13, '2014-1', 28, 78
18, 12, '2014-1', 49, 99
21, 14, '2014-1', 19, 69
20, 14, '2014-1', 91, 41
23, 15, '2014-1', 122, 72
22, 15, '2014-1', 59, 109
25, 16, '2014-1', 31, 81
24, 17, '2014-1', 122, 72
27, 19, '2014-1', 161, 111
26, 16, '2014-1', 126, 76
29, 18, '2014-1', 67, 117
28, 19, '2014-1', 100, 50
31, 20, '2014-1', 69, 119
30, 21, '2014-1', 134, 84
34, 25, '2014-1', 103, 53
35, 24, '2014-1', 70, 120
32, 23, '2014-1', 114, 64
33, 22, '2014-1', 117, 67
38, 26, '2014-1', 112, 62
39, 29, '2014-1', 43, 93
36, 27, '2014-1', 21, 71
37, 27, '2014-1', 3, 53
42, 31, '2014-1', 170, 120
43, 31, '2014-1', 120, 70
40, 29, '2014-1', 104, 54
41, 28, '2014-1', 58, 108
46, 35, '2014-1', 110, 60
47, 35, '2014-1', 23, 73
44, 30, '2014-1', 158, 108
45, 34, '2014-1', 124, 74
51, 38, '2014-1', 55, 105
50, 33, '2014-1', 124, 74
49, 32, '2014-1', 59, 109
48, 32, '2014-1', 157, 107
55, 37, '2014-1', 70, 120
54, 36, '2014-1', 94, 44
53, 39, '2014-1', 166, 116
52, 39, '2014-1', 113, 63
59, 40, '2014-1', 57, 107
58, 43, '2014-1', 149, 99
57, 42, '2014-1', 22, 72
56, 37, '2014-1', 110, 60
63, 47, '2014-1', 133, 83
62, 46, '2014-1', 37, 87
61, 41, '2014-1', 54, 104
60, 41, '2014-1', 113, 63
68, 50, '2014-1', 128, 78
69, 50, '2014-1', 119, 69
