1, 1, '2014-1', 32, 5, 65
1, 2, '2014-1', 39, 0, 86
1, 3, '2014-1', 32, 4, 119
1, 4, '2014-1', 11, 5, 92
1, 5, '2014-1', 43, 5, 74
1, 6, '2014-1', 15, 1, 111
1, 7, '2014-1', 45, 5, 106
1, 8, '2014-1', 42, 1, 101
1, 9, '2014-1', 43, 4, 72
1, 10, '2014-1', 33, 1, 84
1, 11, '2014-1', 40, 4, 95
1, 12, '2014-1', 21, 4, 53
1, 13, '2014-1', 49, 3, 87
1, 14, '2014-1', 26, 3, 103
1, 15, '2014-1', 35, 5, 96
1, 17, '2014-1', 37, 3, 86
1, 16, '2014-1', 10, 0, 86
1, 19, '2014-1', 16, 1, 112
1, 18, '2014-1', 11, 5, 102
1, 21, '2014-1', 45, 5, 113
1, 20, '2014-1', 38, 5, 83
1, 23, '2014-1', 35, 5, 86
1, 22, '2014-1', 10, 0, 51
1, 25, '2014-1', 33, 3, 77
1, 24, '2014-1', 32, 4, 76
1, 27, '2014-1', 26, 0, 52
1, 26, '2014-1', 34, 4, 76
1, 29, '2014-1', 32, 3, 67
1, 28, '2014-1', 33, 0, 67
1, 31, '2014-1', 31, 0, 73
1, 30, '2014-1', 12, 4, 58
1, 34, '2014-1', 18, 5, 85
1, 35, '2014-1', 17, 5, 79
1, 32, '2014-1', 10, 3, 107
1, 33, '2014-1', 46, 3, 86
1, 38, '2014-1', 19, 1, 113
1, 39, '2014-1', 45, 0, 110
1, 36, '2014-1', 26, 4, 50
1, 37, '2014-1', 14, 1, 59
1, 42, '2014-1', 14, 1, 68
1, 43, '2014-1', 39, 5, 70
1, 40, '2014-1', 17, 2, 50
1, 41, '2014-1', 12, 2, 94
1, 46, '2014-1', 11, 1, 110
1, 47, '2014-1', 16, 4, 65
1, 44, '2014-1', 50, 4, 120
1, 45, '2014-1', 18, 3, 87
1, 51, '2014-1', 28, 5, 100
1, 50, '2014-1', 13, 3, 75
1, 49, '2014-1', 34, 3, 88
1, 48, '2014-1', 11, 0, 88
1, 55, '2014-1', 17, 0, 105
1, 54, '2014-1', 26, 3, 110
1, 53, '2014-1', 17, 5, 56
1, 52, '2014-1', 23, 2, 77
1, 59, '2014-1', 25, 4, 78
1, 58, '2014-1', 39, 0, 91
1, 57, '2014-1', 35, 5, 92
1, 56, '2014-1', 26, 0, 52
1, 63, '2014-1', 25, 2, 58
1, 62, '2014-1', 12, 4, 114
1, 61, '2014-1', 25, 3, 118
1, 60, '2014-1', 42, 1, 108
1, 68, '2014-1', 18, 5, 58
1, 69, '2014-1', 10, 5, 95
1, 70, '2014-1', 10, 4, 77
1, 71, '2014-1', 11, 0, 120
1, 64, '2014-1', 11, 4, 79
1, 65, '2014-1', 27, 5, 107
1, 66, '2014-1', 11, 0, 97
